,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch
0,Pink,mtpv,Lamp,Bag,match,0,1
1,Red,xkq,Cup,Bell,match,0,1
2,Black,rjdnv,Plane,Boat,match,0,1
3,Brown,zbxlv,House,Bone,match,0,1
4,Black,rjdnv,Plane,Bow,match,0,1
5,Pink,mtpv,Lamp,Cane,match,0,1
6,Brown,zbxlv,House,Car,match,0,1
7,Red,xkq,Cup,Cross,match,0,1
8,Black,rjdnv,Plane,Cup,match,0,1
9,Green,wvcnz,Cross,Disc,match,0,1
10,Red,xkq,Cup,Flag,match,0,1
11,Pink,mtpv,Lamp,Fork,match,0,1
12,Brown,zbxlv,House,Hand,match,0,1
13,Green,wvcnz,Cross,Heart,match,0,1
14,Blue,qxsw,Boat,House,match,0,1
15,Brown,zbxlv,House,Key,match,0,1
16,Black,rjdnv,Plane,Lamp,match,0,1
17,Black,rjdnv,Plane,Leaf,match,0,1
18,Green,wvcnz,Cross,Lock,match,0,1
19,Pink,mtpv,Lamp,Note,match,0,1
20,Blue,qxsw,Boat,Plane,match,0,1
21,Blue,qxsw,Boat,Shoe,match,0,1
22,Red,xkq,Cup,Square,match,0,1
23,Green,wvcnz,Cross,Star,match,0,1
24,Blue,qxsw,Boat,Tree,match,0,1
25,Green,wvcnz,Cross,Bag,match,0,2
26,Red,xkq,Cup,Bell,match,0,2
27,Brown,zbxlv,House,Boat,match,0,2
28,Green,wvcnz,Cross,Bone,match,0,2
29,Blue,qxsw,Boat,Bow,match,0,2
30,Brown,zbxlv,House,Cane,match,0,2
31,Red,xkq,Cup,Car,match,0,2
32,Black,rjdnv,Plane,Cross,match,0,2
33,Pink,mtpv,Lamp,Cup,match,0,2
34,Pink,mtpv,Lamp,Disc,match,0,2
35,Brown,zbxlv,House,Flag,match,0,2
36,Blue,qxsw,Boat,Fork,match,0,2
37,Black,rjdnv,Plane,Hand,match,0,2
38,Pink,mtpv,Lamp,Heart,match,0,2
39,Black,rjdnv,Plane,House,match,0,2
40,Green,wvcnz,Cross,Key,match,0,2
41,Blue,qxsw,Boat,Lamp,match,0,2
42,Brown,zbxlv,House,Leaf,match,0,2
43,Pink,mtpv,Lamp,Lock,match,0,2
44,Red,xkq,Cup,Note,match,0,2
45,Red,xkq,Cup,Plane,match,0,2
46,Blue,qxsw,Boat,Shoe,match,0,2
47,Green,wvcnz,Cross,Square,match,0,2
48,Black,rjdnv,Plane,Star,match,0,2
49,Black,rjdnv,Plane,Tree,match,0,2
50,Black,rjdnv,Plane,Bag,mismatch,1,0
51,Pink,mtpv,Lamp,Bell,mismatch,1,0
52,Red,xkq,Cup,Boat,mismatch,1,0
53,Blue,qxsw,Boat,Bone,mismatch,1,0
54,Brown,zbxlv,House,Bow,mismatch,1,0
55,Brown,zbxlv,House,Cane,mismatch,1,0
56,Black,rjdnv,Plane,Car,mismatch,1,0
57,Brown,zbxlv,House,Cross,mismatch,1,0
58,Green,wvcnz,Cross,Cup,mismatch,1,0
59,Black,rjdnv,Plane,Disc,mismatch,1,0
60,Pink,mtpv,Lamp,Flag,mismatch,1,0
61,Blue,qxsw,Boat,Fork,mismatch,1,0
62,Green,wvcnz,Cross,Hand,mismatch,1,0
63,Red,xkq,Cup,Heart,mismatch,1,0
64,Pink,mtpv,Lamp,House,mismatch,1,0
65,Pink,mtpv,Lamp,Key,mismatch,1,0
66,Red,xkq,Cup,Lamp,mismatch,1,0
67,Black,rjdnv,Plane,Leaf,mismatch,1,0
68,Blue,qxsw,Boat,Lock,mismatch,1,0
69,Green,wvcnz,Cross,Note,mismatch,1,0
70,Blue,qxsw,Boat,Plane,mismatch,1,0
71,Black,rjdnv,Plane,Shoe,mismatch,1,0
72,Green,wvcnz,Cross,Square,mismatch,1,0
73,Red,xkq,Cup,Star,mismatch,1,0
74,Brown,zbxlv,House,Tree,mismatch,1,0
75,Black,rjdnv,Plane,Bag,mismatch,2,0
76,Blue,qxsw,Boat,Bell,mismatch,2,0
77,Red,xkq,Cup,Boat,mismatch,2,0
78,Pink,mtpv,Lamp,Bone,mismatch,2,0
79,Pink,mtpv,Lamp,Bow,mismatch,2,0
80,Blue,qxsw,Boat,Cane,mismatch,2,0
81,Red,xkq,Cup,Car,mismatch,2,0
82,Red,xkq,Cup,Cross,mismatch,2,0
83,Black,rjdnv,Plane,Cup,mismatch,2,0
84,Blue,qxsw,Boat,Disc,mismatch,2,0
85,Blue,qxsw,Boat,Flag,mismatch,2,0
86,Black,rjdnv,Plane,Fork,mismatch,2,0
87,Brown,zbxlv,House,Hand,mismatch,2,0
88,Black,rjdnv,Plane,Heart,mismatch,2,0
89,Pink,mtpv,Lamp,House,mismatch,2,0
90,Red,xkq,Cup,Key,mismatch,2,0
91,Green,wvcnz,Cross,Lamp,mismatch,2,0
92,Pink,mtpv,Lamp,Leaf,mismatch,2,0
93,Black,rjdnv,Plane,Lock,mismatch,2,0
94,Green,wvcnz,Cross,Note,mismatch,2,0
95,Green,wvcnz,Cross,Plane,mismatch,2,0
96,Brown,zbxlv,House,Shoe,mismatch,2,0
97,Brown,zbxlv,House,Square,mismatch,2,0
98,Green,wvcnz,Cross,Star,mismatch,2,0
99,Brown,zbxlv,House,Tree,mismatch,2,0
