,Unnamed: 0,Modifier,Consonant,ListMod,Head,Match,MisMatchType,ListMatch,Image_Comp2,Image_Comp1,Image_List1,Image_List2
0,0,Green,wvcnz,Cross,Bag,match,0,1,GreenBag_2,GreenBag_3,GreenBag_1,BrownCross_2
1,1,Brown,zbxlv,House,Bell,match,0,1,BrownBell_3,BrownBell_1,BrownBell_2,PinkHouse_2
2,2,Black,rjdnv,Plane,Boat,match,0,1,BlackBoat_1,BlackBoat_1,BlackBoat_2,BluePlane_1
3,3,Blue,qxsw,Boat,Bone,match,0,1,BlueBone_1,BlueBone_1,BlueBone_3,BrownBoat_3
4,4,Pink,mtpv,Lamp,Bow,match,0,1,PinkBow_2,PinkBow_1,PinkBow_2,BlueLamp_1
5,5,Blue,qxsw,Boat,Cane,match,0,1,BlueCane_2,BlueCane_2,BlueCane_3,BlackBoat_3
6,6,Red,xkq,Cup,Car,match,0,1,RedCar_2,RedCar_1,RedCar_1,PinkCup_2
7,7,Black,rjdnv,Plane,Cross,match,0,1,BlackCross_1,BlackCross_3,BlackCross_1,GreenPlane_1
8,8,Pink,mtpv,Lamp,Cup,match,0,1,PinkCup_1,PinkCup_3,PinkCup_2,BlackLamp_2
9,9,Pink,mtpv,Lamp,Disc,match,0,1,PinkDisc_3,PinkDisc_1,PinkDisc_2,BlackLamp_1
10,10,Pink,mtpv,Lamp,Flag,match,0,1,PinkFlag_3,PinkFlag_1,PinkFlag_3,BlueLamp_2
11,11,Red,xkq,Cup,Fork,match,0,1,RedFork_1,RedFork_2,RedFork_2,PinkCup_3
12,12,Black,rjdnv,Plane,Hand,match,0,1,BlackHand_2,BlackHand_3,BlackHand_1,BluePlane_1
13,13,Green,wvcnz,Cross,Heart,match,0,1,GreenHeart_3,GreenHeart_1,GreenHeart_2,RedCross_2
14,14,Blue,qxsw,Boat,House,match,0,1,BlueHouse_3,BlueHouse_3,BlueHouse_2,RedBoat_2
15,15,Black,rjdnv,Plane,Key,match,0,1,BlackKey_2,BlackKey_1,BlackKey_3,BrownPlane_1
16,16,Red,xkq,Cup,Lamp,match,0,1,RedLamp_3,RedLamp_1,RedLamp_3,PinkCup_3
17,17,Green,wvcnz,Cross,Leaf,match,0,1,GreenLeaf_3,GreenLeaf_2,GreenLeaf_1,BrownCross_1
18,18,Brown,zbxlv,House,Lock,match,0,1,BrownLock_1,BrownLock_2,BrownLock_1,PinkHouse_3
19,19,Brown,zbxlv,House,Note,match,0,1,BrownNote_2,BrownNote_3,BrownNote_2,RedHouse_3
20,20,Blue,qxsw,Boat,Plane,match,0,1,BluePlane_2,BluePlane_3,BluePlane_1,RedBoat_2
21,21,Red,xkq,Cup,Shoe,match,0,1,RedShoe_3,RedShoe_1,RedShoe_2,BlackCup_2
22,22,Brown,zbxlv,House,Square,match,0,1,BrownSquare_1,BrownSquare_3,BrownSquare_3,RedHouse_3
23,23,Red,xkq,Cup,Star,match,0,1,RedStar_3,RedStar_1,RedStar_2,PinkCup_3
24,24,Green,wvcnz,Cross,Tree,match,0,1,GreenTree_3,GreenTree_3,GreenTree_3,BrownCross_2
25,25,Pink,mtpv,Lamp,Bag,match,0,2,PinkBag_3,PinkBag_2,PinkBag_1,RedBag_1
26,26,Pink,mtpv,Lamp,Bell,match,0,2,PinkBell_2,PinkBell_3,PinkBell_2,BrownBell_3
27,27,Brown,zbxlv,House,Boat,match,0,2,BrownBoat_2,BrownBoat_3,BrownBoat_3,BlackBoat_2
28,28,Red,xkq,Cup,Bone,match,0,2,RedBone_1,RedBone_1,RedBone_1,PinkBone_3
29,29,Red,xkq,Cup,Bow,match,0,2,RedBow_3,RedBow_2,RedBow_2,PinkBow_2
30,30,Red,xkq,Cup,Cane,match,0,2,RedCane_2,RedCane_2,RedCane_3,BlueCane_2
31,31,Blue,qxsw,Boat,Car,match,0,2,BlueCar_3,BlueCar_2,BlueCar_3,BlackCar_1
32,32,Black,rjdnv,Plane,Cross,match,0,2,BlackCross_1,BlackCross_3,BlackCross_3,RedCross_1
33,33,Brown,zbxlv,House,Cup,match,0,2,BrownCup_2,BrownCup_3,BrownCup_2,BlackCup_3
34,34,Pink,mtpv,Lamp,Disc,match,0,2,PinkDisc_3,PinkDisc_2,PinkDisc_2,PinkDisc_2
35,35,Blue,qxsw,Boat,Flag,match,0,2,BlueFlag_2,BlueFlag_1,BlueFlag_2,GreenFlag_3
36,36,Brown,zbxlv,House,Fork,match,0,2,BrownFork_2,BrownFork_2,BrownFork_3,BlueFork_1
37,37,Red,xkq,Cup,Hand,match,0,2,RedHand_3,RedHand_2,RedHand_3,BrownHand_1
38,38,Brown,zbxlv,House,Heart,match,0,2,BrownHeart_1,BrownHeart_3,BrownHeart_3,RedHeart_3
39,39,Red,xkq,Cup,House,match,0,2,RedHouse_2,RedHouse_1,RedHouse_1,RedHouse_1
